symbol,date,open,high,low,close,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2016-03-31 00:00:00+00:00,109.72,109.9,108.88,108.99,25888449,101.8697688,102.7203192,101.766955,102.5520785,25888449,0,1
AAPL,2016-04-01 00:00:00+00:00,108.78,110,108.2,109.99,25873950,102.8044396,102.8137863,101.1313789,101.673488,25873950,0,1
AAPL,2016-04-04 00:00:00+00:00,110.42,112.19,110.27,111.12,37356204,103.8606176,104.8607153,103.0661474,103.2063481,37356204,0,1
AAPL,2016-04-05 00:00:00+00:00,109.51,110.73,109.42,109.81,26578652,102.6361989,103.496096,102.2716773,102.3557976,26578652,0,1
AAPL,2016-04-06 00:00:00+00:00,110.23,110.98,109.2,110.96,26404077,103.7110703,103.7297637,102.0660497,103.0287606,26404077,0,1
AAPL,2016-04-07 00:00:00+00:00,109.95,110.42,108.121,108.54,31801870,101.449167,103.2063481,101.0575399,102.7670528,31801870,0,1
AAPL,2016-04-08 00:00:00+00:00,108.91,109.77,108.17,108.66,23581740,101.5613275,102.598812,101.1033388,101.7949952,23581740,0,1
AAPL,2016-04-11 00:00:00+00:00,108.97,110.61,108.83,109.02,29407518,101.897809,103.3839355,101.7202215,101.8510754,29407518,0,1
AAPL,2016-04-12 00:00:00+00:00,109.34,110.5,108.66,110.44,27232325,103.2250415,103.2811217,101.5613275,102.1969036,27232325,0,1
AAPL,2016-04-13 00:00:00+00:00,110.8,112.34,110.8,112.04,33257316,104.7205147,105.000916,103.561523,103.561523,33257316,0,1
AAPL,2016-04-14 00:00:00+00:00,111.62,112.39,111.33,112.1,25473923,104.776595,105.0476495,104.0568985,104.327953,25473923,0,1
AAPL,2016-04-15 00:00:00+00:00,112.11,112.3,109.73,109.85,46938969,102.6735857,104.9635291,102.5614252,104.7859417,46938969,0,1
AAPL,2016-04-18 00:00:00+00:00,108.89,108.95,106.94,107.48,60821461,100.4584159,101.832382,99.95369373,101.7763018,60821461,0,1
AAPL,2016-04-19 00:00:00+00:00,107.88,108,106.23,106.91,32384879,99.9256536,100.9444448,99.29007747,100.8322843,32384879,0,1
AAPL,2016-04-20 00:00:00+00:00,106.64,108.09,106.06,107.13,30611030,100.1312812,101.0285651,99.13118343,99.67329249,30611030,0,1
AAPL,2016-04-21 00:00:00+00:00,106.93,106.93,105.52,105.97,31552525,99.04706306,99.94434702,98.62646121,99.94434702,31552525,0,1
AAPL,2016-04-22 00:00:00+00:00,105.01,106.48,104.62,105.68,33683121,98.77600854,99.52374516,97.7852575,98.14977911,33683121,0,1
AAPL,2016-04-25 00:00:00+00:00,105,105.65,104.51,105.08,28031588,98.21520607,98.74796841,97.68244372,98.1404324,28031588,0,1
AAPL,2016-04-26 00:00:00+00:00,103.91,105.3,103.91,104.35,56016165,97.53289639,98.42083364,97.12164125,97.12164125,56016165,0,1
AAPL,2016-04-27 00:00:00+00:00,96,98.71,95.68,97.82,114602142,91.42949617,92.26135317,89.42930069,89.72839534,114602142,0,1
AAPL,2016-04-28 00:00:00+00:00,97.61,97.88,94.25,94.83,82242690,88.63483052,91.48557642,88.09272147,91.2332153,82242690,0,1
AAPL,2016-04-29 00:00:00+00:00,93.99,94.72,92.51,93.74,68531478,87.61603937,88.53201674,86.4663943,87.84970706,68531478,0,1
AAPL,2016-05-02 00:00:00+00:00,93.965,94.08,92.4,93.64,48160104,87.52257229,87.93382743,86.36358051,87.82634029,48160104,0,1
AAPL,2016-05-03 00:00:00+00:00,94.2,95.74,93.68,95.18,56831277,88.9619653,89.48538094,87.55995912,88.04598793,56831277,0,1
